Site,# Sessions,FPS,Total Duration,# Samples
20250702,4,1032.153,14.910 ± 0.134,15400
20250703,3,726.135,15.000 ± 0.005,10895
20250704,3,701.58,13.099 ± 2.670,9238
20250705,2,480.486,14.975 ± 0.025,7197
20250706,4,982.424,14.991 ± 0.006,14731
20250707,4,934.105,14.091 ± 1.570,13174
20250708,4,941.554,14.113 ± 0.909,13289
20250709,4,936.158,14.960 ± 0.069,14009
20250710,3,754.586,14.996 ± 0.011,11319
20250711,4,971.306,14.922 ± 0.143,14491
20250712,4,974.78,13.332 ± 1.656,12924
20250713,4,930.604,14.995 ± 0.006,13958
20250714,4,911.967,14.991 ± 0.016,13675
20250715,4,898.319,15.006 ± 0.002,13484
20250716,4,924.828,14.987 ± 0.014,13864
20250717,4,912.276,14.731 ± 0.470,13445
20250718,4,922.771,14.992 ± 0.021,13838
20250719,4,923.312,14.176 ± 1.413,13099
20250720,4,905.267,15.004 ± 0.002,13587
20250721,2,453.326,15.000 ± 0.006,6802
20250722,1,247.802,14.976 ± 0.000,3712
20250724,1,234.376,15.002 ± 0.000,3517
20250728,1,225.319,15.005 ± 0.000,3382
20250729,1,226.165,15.002 ± 0.000,3394
20250730,1,226.889,14.999 ± 0.000,3404
20250731,1,226.083,14.977 ± 0.000,3387
20250801,1,229.809,14.969 ± 0.000,3441
Site1-1,80,14.748,18834.380,276656
